user_id,first_name,last_name,city,email,phone,ssn,credit_card,loyalty_id,notes
29,Jamie,Garcia,BOS,jamie.garcia28@example.com,(454)-322-2014,370-65-2135,8176-3723-3823-6964,L-87651,Called support on ticket 4919
30,Casey,Garcia,NY,casey.garcia29@example.com,(861)-812-7755,893-54-2775,6264-6162-4474-6748,L-33684,Called support on ticket 6483
31,Casey,Lee,SEA,casey.lee30@example.com,(728)-240-6686,920-83-7168,8230-4254-3944-1752,L-74983,Called support on ticket 3829
32,Casey,Chen,BOS,casey.chen31@example.com,(310)-329-4122,124-53-6856,6954-2931-2477-6072,L-66972,Called support on ticket 9502
33,Drew,Chen,NY,drew.chen32@example.com,(401)-904-5108,992-68-6355,1909-6315-4424-8592,L-22034,Called support on ticket 2727
34,Riley,Diaz,BOS,riley.diaz33@example.com,(619)-501-3753,434-68-5855,3663-2935-7396-3226,L-28800,Called support on ticket 3968
35,Casey,Chen,SEA,casey.chen34@example.com,(265)-475-7773,794-61-8885,3696-2479-1697-2795,L-78685,Called support on ticket 9135
36,Jordan,Olsen,NY,jordan.olsen35@example.com,(874)-304-6764,173-75-9156,7583-3422-8576-3757,L-77838,Called support on ticket 8494
37,Taylor,Olsen,BOS,taylor.olsen36@example.com,(349)-215-4912,263-88-8799,4377-3778-7397-5079,L-18712,Called support on ticket 6962
38,Riley,Lee,DAL,riley.lee37@example.com,(626)-859-8649,706-39-4336,7516-1577-3078-5668,L-94849,Called support on ticket 7816
39,Casey,Patel,SF,casey.patel38@example.com,(412)-798-5824,289-76-6743,9068-6027-2131-8996,L-26584,Called support on ticket 1494
40,Casey,Chen,DAL,casey.chen39@example.com,(303)-776-4647,996-66-9451,8134-8586-1791-7993,L-64290,Called support on ticket 4554
41,Sam,Diaz,NY,sam.diaz40@example.com,(347)-898-7834,631-77-3901,7490-2851-5002-2323,L-44035,Called support on ticket 4062
42,Taylor,Chen,NY,taylor.chen41@example.com,(473)-874-4898,587-19-4487,9727-5931-1182-7494,L-79284,Called support on ticket 4432
43,Alex,Nguyen,SF,alex.nguyen42@example.com,(934)-490-4486,813-22-1266,7842-9331-9935-2157,L-23318,Called support on ticket 4047
44,Riley,Brown,BOS,riley.brown43@example.com,(499)-935-3307,210-48-1826,7107-9889-1964-2050,L-26069,Called support on ticket 2591
45,Jamie,Olsen,BOS,jamie.olsen44@example.com,(556)-940-7752,868-26-5088,9228-7761-2954-8611,L-79219,Called support on ticket 2317
46,Alex,Garcia,SEA,alex.garcia45@example.com,(322)-226-1991,382-44-3809,5024-7477-3229-5094,L-75593,Called support on ticket 1510
47,Drew,Brown,SF,drew.brown46@example.com,(910)-401-9245,693-31-1557,4546-7699-3044-5632,L-21241,Called support on ticket 4823
48,Alex,Brown,SEA,alex.brown47@example.com,(872)-298-2511,258-60-8743,6464-5357-9477-2653,L-24831,Called support on ticket 7028
49,Casey,Garcia,SF,casey.garcia48@example.com,(621)-821-3546,840-55-7344,6656-5325-5825-9952,L-45603,Called support on ticket 9503
50,Casey,Patel,BOS,casey.patel49@example.com,(506)-343-3275,222-40-2018,5895-9815-9676-9473,L-31933,Called support on ticket 3075
