user_id,first_name,last_name,city,email,phone,ssn,credit_card,loyalty_id,notes
30,Casey,Garcia,NY,michael93@example.org,+1-636-216-6658x28264,*******2775,***************6748,9b63b98d42216af08cab2bbfb4026c364c3e5a685d48e89d481a184711cc7dcc,Called support on ticket 6483
31,Casey,Lee,SEA,swilson@example.net,(460)462-3651,*******7168,***************1752,b3feabaa8d658981ca004b2e0bf72a170233ca8883526ff65705ac18e2d01993,Called support on ticket 3829
32,Casey,Chen,BOS,atran@example.com,789-849-6001,*******6856,***************6072,4a14580cdfcff40d05e349aaa72af1b6aeb7ba5d487a605cb1836dee041de8ca,Called support on ticket 9502
33,Drew,Chen,NY,erica87@example.org,2546738721,*******6355,***************8592,ff59f76cb2f4327fb7fc5d82c98fdf1d1de12eccb4e728e3a2540601adcdd3fc,Called support on ticket 2727
34,Riley,Diaz,BOS,murrayshawna@example.com,435.701.7975x15569,*******5855,***************3226,a6ece0e2cfc42776645c77912940e4b7697e280f91e353c2837b0bd7b46358c9,Called support on ticket 3968
35,Casey,Chen,SEA,johnsonmatthew@example.org,202.999.2216,*******8885,***************2795,fcdff9a7a787346cbd649da441721e4d6b6070eabefb786f9f5e7b5f704891e6,Called support on ticket 9135
36,Jordan,Olsen,NY,nblake@example.org,001-710-698-0578x30168,*******9156,***************3757,b2a95407194a966282bb16da467e980b828f894fd7a6a9570201d119ed9f4a70,Called support on ticket 8494
37,Taylor,Olsen,BOS,brianwilliams@example.net,(799)634-1343,*******8799,***************5079,176d4a545172689845f123134cd3a235e284ad10fb57706c08b9e6997f35fb8c,Called support on ticket 6962
38,Riley,Lee,DAL,earlthompson@example.net,001-894-958-0544,*******4336,***************5668,a155e04ad6ec0034137cb0e58bfd1da6474418a5afe3d71dfe90a09c3a1640bc,Called support on ticket 7816
39,Casey,Patel,SF,dawn74@example.net,361-428-0481x05657,*******6743,***************8996,6cc5b49f85c57c1148b8028914c954e2cfe7c9b63523cb20e1461fe97e59ba5e,Called support on ticket 1494
40,Casey,Chen,DAL,grantmarc@example.com,(476)709-6984x615,*******9451,***************7993,d826ab2347e2f9f7560d82f554cf0c3b8ecd26fabd9eef8bf99cbe88300b21f4,Called support on ticket 4554
41,Sam,Diaz,NY,drakelauren@example.com,+1-283-978-9502,*******3901,***************2323,9202d8acbccc321fd756d829ae58c866aec628379f8f2fb04220932fcaceb6ef,Called support on ticket 4062
42,Taylor,Chen,NY,chart@example.net,001-662-314-3872x68523,*******4487,***************7494,216934dfcc4ff2ea0085b678c04543538c9090ef38dca59302f957d6d37c91b9,Called support on ticket 4432
43,Alex,Nguyen,SF,hcarson@example.net,261-999-6555x049,*******1266,***************2157,9a2b302ff5650fb681f5ba37d596e93a9643b7f2735d348189af202d8774f34a,Called support on ticket 4047
44,Riley,Brown,BOS,ochavez@example.org,934-343-0441x4630,*******1826,***************2050,f0286bc57548bea1949819e746f828f299559ee308e2873ea15d2932d0f79a5f,Called support on ticket 2591
45,Jamie,Olsen,BOS,melissa60@example.net,481-375-4249,*******5088,***************8611,c1ee8d7e344faa4b39fa1195fc37d8294bc87448ce32daa5f956e4cc2865cfee,Called support on ticket 2317
46,Alex,Garcia,SEA,johnmathews@example.org,476.957.0448x79620,*******3809,***************5094,eb2549597cebaeceac6916341a88efa4ce125f95b423285ac128403bd676172a,Called support on ticket 1510
47,Drew,Brown,SF,fberry@example.com,5298387936,*******1557,***************5632,b0b97222957feb4242267d66b79a429c1eefe277561353485106462f126b2ab0,Called support on ticket 4823
48,Alex,Brown,SEA,kennethcrosby@example.org,312-695-3407x0307,*******8743,***************2653,720ca751d1c40e2a305592c0f5c30e8aa63b8877bb902259a1a1a10ab88c6766,Called support on ticket 7028
49,Casey,Garcia,SF,kortiz@example.net,+1-913-878-1304x74119,*******7344,***************9952,2740a156564b30397d2c5a9fb66306133eb79ea46de9e31bfb72a152ad4662de,Called support on ticket 9503
50,Casey,Patel,BOS,alisonwilliams@example.net,(391)333-5240,*******2018,***************9473,4ce591bfc92abdc30aff1b2901f8933d25373b2945f3f4ac757b0256c8b755fb,Called support on ticket 3075
